prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
p2caybs0sw,Bello,Brayan,,1999,5,7,bellobr01,,23920,678394,11362,bellobr01,12330
p3m0zdahsw,Dingler,Dillon,,1998,9,17,dingldi01,,27464,693307,10920,dingldi01,11928
p4y1zev91r,Wheeler,Zack,,1990,5,30,wheelza01,,10310,554430,8235,wheelza01,9124
p56vtymyh8,Ozuna,Marcell,,1990,11,12,ozunama01,,10324,542303,8478,ozunama01,9385
p5fkmraaf4,Bassitt,Chris,,1989,2,22,bassich01,,12304,605135,8879,bassich01,9799
p6by0rtdfg,Lee,Jung Hoo,,1998,8,20,leeju01,,33824,808982,11903,leeju01,63494
p7s9g4sa6w,Trevino,Jose,,1992,11,28,trevijo01,,16725,624431,9862,trevijo01,11045
p7tgjgdv88,Gausman,Kevin,,1991,1,6,gausmke01,,14107,592332,8427,gausmke01,9334
p9e6wxmbtg,Yepez,Juan,,1998,2,19,yepezju01,,18400,660766,11302,yepezju01,12283
pcy7f1pdh8,Hernaiz,Darell,,2001,8,3,hernada04,,26224,687231,11920,hernada04,60638
pgb2d77b7c,Uribe,Abner,,2000,6,20,uribeab01,,25327,682842,11664,uribeab01,12746
phe3yhte64,Witt Jr.,Bobby,,2000,6,14,wittbo02,,25764,677951,10932,wittbo02,11771
pjzbe2j7dg,Alvarez,Yordan,,1997,6,27,alvaryo01,,19556,670541,10367,alvaryo01,10883
pmr920jpqw,Montgomery,Mason,,2000,6,17,montgma01,,29770,682254,11621,montgma01,60412
pnaqvzh9zw,Alvarado,Jose,,1995,5,21,alvarjo03,,17780,621237,9515,alvarjo03,10692
pq5h23nxyc,Foley,Jason,,1995,11,1,foleyja01,,19531,671345,11127,foleyja01,12204
pqjhxtk6mm,Black,Tyler,,2000,7,26,blackty01,,29949,672012,11890,blackty01,12478
pr2r5vzrqm,Ohtani,Shohei,,1994,7,5,ohtansh01,,19755,660271,9810,ohtansh01,10835
pseyv7mrmr,Wilson,Jacob,,2002,3,30,wilsoja05,,33266,805779,12127,wilsoja05,62976
psxn489ed4,Ruiz,Esteury,,1999,2,15,ruizes01,,21780,665923,10193,ruizes01,11378
pw4sabynk4,Fedde,Erick,,1993,2,25,feddeer01,,17425,607200,9719,feddeer01,10229
pwrjf93mpw,Lux,Gavin,,1997,11,23,luxga01,,19955,666158,10203,luxga01,10511
pyexmfpbq8,Tawa,Tim,,1999,4,7,tawati01,,29571,694374,12250,tawati01,60064
