prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,espn_id,gsis_id,nffc_id,pfr_id,sleeper_id,sportradar_id,wikidata_id,yahoo_id
6qg874mdqw,Black,Kaelon,,2001,10,17,4696044,00-0041052,23064,BlacKa00,13414,4dea3ae1-8c53-4ef1-bd72-e2d2dfb3fa97,Q137391681,42712
6sc0cvtkf0,Abdullah,Ameer,,1993,6,13,2576336,00-0032104,13582,AbduAm00,2359,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,Q16148577,28442
74bqdcnx5m,Brightwell,Gary,,1998,2,28,4245645,00-0036569,19149,BrigGa00,7529,94bde2c7-7229-4bf0-a545-5950cf3c7927,Q106677291,33584
7dx90qs7k4,Gibbs,Jahmyr,,2002,3,20,4429795,00-0039139,20272,GibbJa01,9221,fef9457e-6497-47de-9bf2-cc3b95929375,Q100193610,40059
7hfg99gzc4,Swift,D'Andre,,1999,1,14,4259545,00-0036275,17961,SwifDA00,6790,cc4b5f58-a11c-4450-a1df-617ad88336e4,Q52693227,32705
810rd58m54,Irving,Bucky,,2002,8,19,4596448,00-0039361,21136,IrviBu00,11584,c5249c6f-bd1b-4352-8228-de2bd499ca0d,Q114818783,40993
88ylnsywrh,Brown,Brittain,,1997,10,10,4036032,00-0037329,19710,BrowBr06,8423,387c8819-5892-4528-ac33-0ec72b24cc2f,Q111787485,34206
899018kh7w,McGowan,Seth,,2001,10,23,4686468,00-0041125,22945,McGoSe01,13424,17deebdc-0ec2-4f3f-9584-d21b01743265,Q137356492,42859
8b7yq283xd,Sampson,Dylan,,2004,9,14,5081397,00-0040162,22099,SampDy00,12469,6ea71d26-623a-4178-a93a-215678244902,Q126285126,41907
8jk11f9c8r,Hill,Justice,,1997,11,14,4038441,00-0034975,17020,HillJu00,5995,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,Q29913288,31945
8n5bh12jew,Hurts,Jalen,,1998,8,7,4040715,00-0036389,17999,HurtJa00,6904,64bd0f02-6a5d-407e-98f1-fd02048ea21d,Q26923572,32723
8zzkpfrnzd,Gore,Frank,,2002,3,13,4429805,00-0039471,21166,GoreFr01,232,6a2b129d-a9e5-4131-b491-82269b323f77,Q109591476,7241
904ft2n8m4,Flacco,Joe,,1985,1,16,11252,00-0026158,7090,FlacJo00,19,64797df2-efd3-4b27-86ee-1d48f7edb09f,Q795406,8795
93ftjq88l0,Walker,Kenneth,,2000,10,20,4567048,00-0038134,19430,WalkKe00,8151,22ee9bac-a64c-4d44-94fc-51d775465b3b,Q108602387,33996
960jnwdkx4,Harvey,RJ,,2001,2,4,4568490,00-0040730,22111,HarvRJ00,12489,fc6dbb83-b2b1-4962-b793-e79b2378b525,Q123514848,41845
99q644st7m,Davis,Isaiah,,2002,2,21,4695404,00-0039798,21161,DaviIs00,11571,849789be-b8f0-4d97-a777-2fcf336efa6a,Q120970539,41031
9m4c4yr5pw,Hemby,Roman,,2002,8,16,4688835,00-0040998,23486,HembRo00,13416,f5d02460-4194-11f1-b42b-111a688b2d6a,Q115492469,42941
9pn2rwl8yr,White,Rachaad,,1999,1,12,4697815,00-0037256,19436,WhitRa01,8136,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,Q108761971,34047
9retnhzt84,Purdy,Brock,,1999,12,27,4361741,00-0037834,19742,PurdBr00,8183,d5aef708-ad61-4ab8-a637-62ff96e92040,Q71605297,34218
9y2z9blztm,Cook,James,,1999,9,25,4379399,00-0037248,19467,CookJa01,8138,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,Q109849794,34019
b0jh2nx10m,Smith,Geno,,1990,10,10,15864,00-0030565,11818,SmitGe00,1373,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,Q59497,26662
b1dmws3204,Neal,Devin,,2003,8,12,4682652,00-0040202,22104,NealDe00,12476,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,Q115492056,41972
bg09vffbn8,Juszczyk,Kyle,,1991,4,23,16002,00-0029892,11911,JuszKy00,1379,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,Q14950145,26753
bpfx2ccd7h,Johnson,Roschon,,2001,1,31,4426386,00-0039021,20334,JohnRo07,10235,e3c414c0-be8c-4807-af9c-f91d89c83e60,Q114060536,40162
byrh5jbfrr,Wilson,Emanuel,,1999,5,8,4887558,00-0038797,21001,WilsEm00,11435,05266280-f323-11ed-bd27-0bcbcaae8d67,Q122110046,40707
cd2tnqmxp0,Marks,Woody,,2000,12,29,4429059,00-0040583,22109,MarkWo00,12474,b900661b-b5df-47c8-819d-bb13b106a60b,Q124407689,41902
cjs8qckn70,Scott,Zavier,,1999,7,17,4257364,00-0038440,20829,ScotZa00,11299,3b133980-eb9a-11ed-8b52-a11a185238e2,Q124753613,40539
crn4f6m9cr,Judkins,Quinshon,,2003,10,29,4685702,00-0040784,22062,JudkQu00,12512,268c6ae2-278b-49f8-b7cd-b367944412f3,Q115492439,41821
ctzjf2xzxh,Darnold,Sam,,1997,6,5,3912547,00-0034869,16077,DarnSa00,4943,13d826c5-9b22-4e0a-a877-02d8c84c546b,Q27049069,30973
dc4795j3h8,Hampton,Omarion,,2003,3,16,4685382,00-0040666,22069,HampOm00,12507,3e1b7908-79ee-4a23-97b9-5190725a2e5e,Q122461052,41807
ddskx0hrp8,Lloyd,MarShawn,,2001,1,5,4429023,00-0039811,21144,LloyMa00,11581,7b8967bc-a3a5-4aa4-bd1f-2846663ca831,Q114686918,40971
e6j7yxqppw,Sanders,Raheim,,2002,6,8,4601080,00-0040466,22488,SandRa00,12472,09b7c5d0-23ca-11f0-97f8-1902f784caec,Q113857305,42139
ednvt8hm3r,Allen,Josh,,1996,5,21,3918298,00-0034857,16074,AlleJo02,4984,3069db07-aa43-4503-ab11-2ae5c0002721,Q27966578,30977
eshdb43ydd,Tucker,Sean,,2001,10,25,4430871,00-0038951,20285,TuckSe00,9506,6d616c10-f35e-11ed-b721-9b68b08a2e09,Q108939968,40742
f4kgydstb4,Rodriguez,Chris,,1999,9,26,4362619,00-0038611,20308,RodrCh00,10219,ae5c4758-cb53-4f17-8763-b91381036af3,Q108862470,40231
fxwqcet2wm,McCaffrey,Christian,,1996,6,7,3117251,00-0033280,15222,McCaCh01,4034,f96db0af-5e25-42d1-a07a-49b4e065b364,Q21621996,30121
g7qme995hm,Blue,Jaydon,,2004,1,8,4685279,00-0040586,22092,BlueJa01,12457,f5e6eb8e-2c76-4bf9-b47f-57c62659341d,Q128792652,41935
g8zk6fy75m,Daniels,Jayden,,2000,12,18,4426348,00-0039910,21126,DaniJa02,11566,bab8c65a-9fff-410d-8e34-dc2f636d890e,Q66825384,40896
gm61zy413m,Allen,LeQuint,,2004,8,5,4911851,00-0040238,22090,AlleLe01,12544,14aedd06-41a6-41db-8c5e-05483f91570d,Q122832663,42007
h5x0vlp33w,Stevenson,Rhamondre,,1998,2,23,4569173,00-0036875,18791,StevRh00,7611,6260e78a-64e2-4f7e-9bf8-39948a17a370,Q104648692,33508
h9ygyn3xsh,Taylor,Jonathan,,1999,1,19,4242335,00-0036223,17962,TaylJo02,6813,925195a4-06ba-4e37-ae7d-a3d6a5419139,Q41788679,32711
hh0e1cjbfw,Jacobs,Josh,,1998,2,11,4047365,00-0035700,16998,JacoJo01,5850,61694ab9-b099-408e-b48d-6a643dd069ec,Q59660262,31856
hms8fhwnj8,Brown,Chase,,2000,3,21,4362238,00-0038597,20292,BrowCh10,9224,d74ff06d-905d-4fed-8f98-b5f6d4549333,Q114554328,40196
hqy6mv7c28,Allgeier,Tyler,,2000,4,15,4373626,00-0037263,19441,AllgTy00,8132,f4529909-1a02-4f4b-a1f3-315cad100683,Q109336060,34107
hx30jszbgh,Penix,Michael,,2000,5,8,4360423,00-0039917,20298,PeniMi00,11559,6499a161-b221-4591-b122-d99ece1be64b,Q101503854,40889
j9nfnk3l0w,McNichols,Jeremy,,1995,12,26,3127586,00-0033955,15441,McNiJe00,4219,25cc3585-6194-4786-968a-2600db46b6c6,Q27662503,30275
j9qxflzcs0,McCarthy,J.J.,,2003,1,20,4433970,00-0039923,21150,McCaJJ00,11565,587cc3c3-aeda-4ac7-8803-a7e4db195534,Q108913383,40905
jcrzlqsrn4,Carter,Michael,,1999,5,7,4240657,00-0036924,18828,CartMi03,7607,7f119181-4c9f-4a9f-bccc-357277b64a8d,Q104742000,33495
jj45558tfm,Price,Jadarian,,2003,10,9,4685512,00-0041512,22938,PricJa02,13286,17b64129-5118-4525-ac9a-d79ff5313568,Q130211010,42654
jt3c5z463d,Skattebo,Cam,,2002,2,5,4696981,00-0040715,22077,SkatCa00,12481,e1f0c72d-f4d0-4c24-93a4-8a12b9a2efd2,Q123653630,41922
jwyt7xhn2m,Guerendo,Isaac,,2000,6,28,4372561,00-0039363,21178,GuerIs00,11651,eac64b21-6e9e-447a-bf18-8a00b5c12871,Q124209497,40998
jyq8eex4d4,Prescott,Dak,,1993,7,29,2577417,00-0033077,14553,PresDa01,3294,86197778-8d4b-4eba-affe-08ef7be7c70b,Q16235747,29369
k0s7m7592m,Ford,Jerome,,1999,9,12,4372019,00-0037267,19443,FordJe00,8143,cdc61676-6592-43f9-a4a6-d29ce52ac8f4,Q108928936,34112
